"Localization Key","English","Polish"
"PF2E.TraitWornSandles","Worn Sandles","Noszone Sandały"
"PF2E.TraitWornShoes","Worn Shoes","Noszone Buty"
"PF2E.TraitWornUnderArmor","Worn Under Light Armor or Clothes","Noszony Pod Lekkim Pancerzem lub Ubraniem"
"PF2E.TraitWraith","Wraith","Upiór"
"PF2E.TraitWyrwood","Wyrwood","Drzewnik"
"PF2E.TraitXulgath","Xulgath","Xulgat"
"PF2E.TraitZombie","Zombie","Zombi"
"PF2E.Traits","Traits","Cechy"
"PF2E.TraitsLabel","Traits","Cechy"
"PF2E.Trap","Trap","Pułapka"
"PF2E.TravelSpeed.Days","Days","Dni"
"PF2E.TravelSpeed.DetectBeforeRunningIntoIt","Notice Everything in Advance","Wykrywaj Wszystko z Wyprzedzeniem"
"PF2E.TravelSpeed.DetectEverything","Notice Everything","Wykrywaj Wszystko"
"PF2E.TravelSpeed.DetectionMode","Detection Mode","Rodzaj Wykrywania"
"PF2E.TravelSpeed.DifficultTerrain","Difficult Terrain Speed","Prędkość w Trudnym Terenie"
"PF2E.TravelSpeed.Distance","Distance","Dystans"
"PF2E.TravelSpeed.ExplorationActivities.AvoidNotice","Avoid Notice","Unikanie Wykrycia"
"PF2E.TravelSpeed.ExplorationActivities.CoverTracks","Cover Tracks","Zakrywanie Śladów"
"PF2E.TravelSpeed.ExplorationActivities.Defend","Defend","Defensywa"
"PF2E.TravelSpeed.ExplorationActivities.DetectMagic","Detect Magic","Wykrywanie Magii"
"PF2E.TravelSpeed.ExplorationActivities.HalfSpeed","Other (Half Speed)","Inna (Połowa Prędkości)"
"PF2E.TravelSpeed.ExplorationActivities.Investigate","Investigate","Badanie"
"PF2E.TravelSpeed.ExplorationActivities.None","None (Full Speed)","Brak (Pełna Prędkość)"
"PF2E.TravelSpeed.ExplorationActivities.RepeatASpell","Repeat a Spell","Powtarzanie Zaklęcia"
"PF2E.TravelSpeed.ExplorationActivities.Scout","Scout","Zwiad"
"PF2E.TravelSpeed.ExplorationActivities.Search","Search","Przeszukiwanie"
"PF2E.TravelSpeed.ExplorationActivities.Track","Track","Tropienie"
"PF2E.TravelSpeed.ExplorationActivity","Exploration Activity","Aktywności Eksploracji"
"PF2E.TravelSpeed.ExplorationSpeed","Exploration Speed","Prędkość Eksploracji"
"PF2E.TravelSpeed.Feet","Feet","Stopy"
"PF2E.TravelSpeed.FeetAcronym","ft","ft"
"PF2E.TravelSpeed.GreaterDifficultTerrain","Greater Difficult Terrain Speed","Prędkość w Bardzo Trudnym Terenie"
"PF2E.TravelSpeed.HexplorationActivities","Hexploration Activities","Aktywności Heksploracji"
"PF2E.TravelSpeed.Hours","Hours","Godziny"
"PF2E.TravelSpeed.HoursPerDay","Hours Spent Traveling Per Day","Godzin Dziennie w Podróży"
"PF2E.TravelSpeed.HustleMinutes","Minutes Spent Hustling Per Day","Minut Dziennie Spędzonych w Pośpiechu"
"PF2E.TravelSpeed.Journey","Journey","Podróż"
"PF2E.TravelSpeed.Label","Travel Speed","Prędkość Podróży"
"PF2E.TravelSpeed.Miles","Miles","Mile"
"PF2E.TravelSpeed.Name","Name","Nazwa"
"PF2E.TravelSpeed.None","Full Speed","Pełna Prędkość"
"PF2E.TravelSpeed.NormalTerrain","Normal Terrain Speed","Normalna Prędkość w Terenie"
"PF2E.TravelSpeed.PartySpeed","Party Speed","Prędkość Drużyny"
"PF2E.TravelSpeed.Speed","Speed","Prędkość"
"PF2E.TravelSpeed.TerrainSlowdown","Terrain Speed","Prędkość w Terenie"
"PF2E.TravelSpeed.Title","Travel Duration Calculator (Alpha)","Kalkulator Czasu Podróży (Alpha)"
"PF2E.TravelSpeed.TravelDuration","Travel Duration","Czas Podróży"
"PF2E.TravelSpeed.Weeks","Weeks","Tygodnie"
"PF2E.TrickMagicItemPopup.InvalidActor","Only a character or NPC can use Trick Magic Item.","Tylko postać lub BN może Zwodzić Magiczny Przedmiot."
"PF2E.TrickMagicItemPopup.Label","Select a skill to use with Trick Magic Item.","Wybierz umiejętność do użycia podczas Zwodzenia Magicznego Przedmiotu."
"PF2E.TrickMagicItemPopup.Title","Trick Magic Item","Zwiedź Magiczny Przedmiot"
"PF2E.UI.applyDamage.by","by","od"
"PF2E.UI.applyDamage.damaged","damaged for ","obrażenia w liczbie "
"PF2E.UI.applyDamage.healed","healed for ","leczenie w liczbie "
"PF2E.UI.applyDamage.shieldActive","and their {shield} gets ","oraz tarcza {shield} otrzymują "
"PF2E.UI.applyDamage.shieldInActive","gets","otrzymuje"
"PF2E.UI.errorTargetToken","Select at least one valid token.","Wybierz co najmniej jeden właściwy żeton."
"PF2E.UI.noDamageInfoForOutcome","No damage information for outcome {outcome}.","Brak informacji o obrażeniach dla wyniku {outcome}."
"PF2E.UI.shiftModifyDamageLabel","Amount","Liczba"
"PF2E.UI.shiftModifyDamageTitle","Adjust Damage/Healing","Dostosuj Obrażenia/Leczenie"
"PF2E.UUID.Label","UUID","UUID"
"PF2E.UUID.SourceId","Source ID","ID Źródła"
"PF2E.UnitPriceLabel","Unit price","Cena jednostkowa"
"PF2E.UnitedPaizoWorkers.PFSNote","Note for Pathfinder Society players: In support of UPW, merchandise purchased from the union store will count in the Online PFS region for the <span class=""hover"" title=""When you use a Hero Point to reroll a check, add a +1 circumstance bonus to the reroll"">Promotional Vestments</a> boon.","Note for Pathfinder Society players: In support of UPW, merchandise purchased from the union store will count in the Online PFS region for the <span class=""hover"" title=""When you use a Hero Point to reroll a check, add a +1 cirumstance bonus to the reroll"">Promotional Vestments</a> boon."
"PF2E.UnitedPaizoWorkers.ReleaseIntro","Redmond, WA (October 14th, 2021) — Today, the workers at Paizo, Inc - publisher of the Pathfinder and Starfinder roleplaying games - are announcing their formation of the United Paizo Workers union (UPW), with the Communication Workers of America's CODE-CWA project. This union is the first of its kind in the tabletop roleplaying games industry.","Redmond, WA (October 14th, 2021) — Today, the workers at Paizo, Inc - publisher of the Pathfinder and Starfinder roleplaying games - are announcing their formation of the United Paizo Workers union (UPW), with the Communication Workers of America's CODE-CWA project. This union is the first of its kind in the tabletop roleplaying games industry."
"PF2E.UnitedPaizoWorkers.Title","Announcement: United Paizo Workers","Announcement: United Paizo Workers"
"PF2E.UnprepareItemTitle","Unprepare Item","Cofnij Przygotowanie Przedmiotu"
"PF2E.UpdateLabelUniversal","Update","Aktualizuj"
"PF2E.Usage","Usage","Zastosowanie"
"PF2E.UserSettings.DarkvisionFilter.Hint","Add a (usually monochrome) filter when viewing a scene through the sight of a creature with darkvision","Dodaj filtr (na ogół czarno-biały) używany kiedy obserwujesz scenę przez wzrok postaci z widzeniem w ciemności"
"PF2E.UserSettings.DarkvisionFilter.Label","Darkvision Filter","Filtr Widzenia w Ciemności"
"PF2E.ValueLabel","Value","Wartość"
"PF2E.WeaknessesLabel","Weaknesses","Podatności"
"PF2E.Weapon.Base.adze","Adze","Ciesak"
"PF2E.Weapon.Base.air-repeater","Air Repeater","Wiatrówka"
"PF2E.Weapon.Base.aklys","Aklys","Aklys"
"PF2E.Weapon.Base.alchemical-bomb","Alchemical Bomb","Alchemiczna Bomba"
"PF2E.Weapon.Base.alchemical-crossbow","Alchemical Crossbow","Alchemiczna Kusza"
"PF2E.Weapon.Base.aldori-dueling-sword","Aldori Dueling Sword","Miecz Pojedynkowy Aldorich"
"PF2E.Weapon.Base.arbalest","Arbalest","Arbaleta"
"PF2E.Weapon.Base.arquebus","Arquebus","Arkebuz"
"PF2E.Weapon.Base.asp-coil","Asp Coil","Żmijowy Splot"
"PF2E.Weapon.Base.atlatl","Atlatl","Atlatl"
"PF2E.Weapon.Base.axe-musket","Axe Musket","Toporo-muszkiet"
"PF2E.Weapon.Base.barricade-buster","Barricade Buster","Burzyciel Barykad"
"PF2E.Weapon.Base.bastard-sword","Bastard Sword","Miecz Bastardowy"
"PF2E.Weapon.Base.battle-axe","Battle Axe","Topór Bojowy"
"PF2E.Weapon.Base.battle-lute","Battle Lute","Lutnia Bojowa"
"PF2E.Weapon.Base.battle-saddle","Battle Saddle","Siodło Bojowe"
"PF2E.Weapon.Base.bec-de-corbin","Bec de Corbin","Młot Lucereński"
"PF2E.Weapon.Base.big-boom-gun","Big Boom Gun","Duży Bum-Pistolet"
"PF2E.Weapon.Base.black-powder-knuckle-dusters","Black Powder Knuckle Dusters","Kastety Czarnoprochowe"
"PF2E.Weapon.Base.bladed-diabolo","Bladed Diabolo","Zaostrzone Diabolo"
"PF2E.Weapon.Base.bladed-gauntlet","Bladed Gauntlet","Karwasz z Ostrzem"
"PF2E.Weapon.Base.bladed-hoop","Bladed Hoop","Zaostrzona Obręcz"
"PF2E.Weapon.Base.bladed-scarf","Bladed Scarf","Ostrzany Szal"
"PF2E.Weapon.Base.blowgun","Blowgun","Dmuchawka"
"PF2E.Weapon.Base.blowgun-darts","Blowgun Darts","Strzałki do Dmuchawki"
"PF2E.Weapon.Base.blunderbuss","Blunderbuss","Garłacz"
"PF2E.Weapon.Base.bo-staff","Bo Staff","Bo"
"PF2E.Weapon.Base.boarding-axe","Boarding Axe","Topór Abordażowy"
"PF2E.Weapon.Base.boarding-pike","Boarding Pike","Pika Abordażowa"
"PF2E.Weapon.Base.bola","Bola","Bola"
"PF2E.Weapon.Base.boomerang","Boomerang","Bumerang"
"PF2E.Weapon.Base.bow-staff","Bow Staff","Łukostur"
"PF2E.Weapon.Base.breaching-pike","Breaching Pike","Pika Przełamująca"
"PF2E.Weapon.Base.broadspear","Broadspear","Partyzana"
"PF2E.Weapon.Base.butchering-axe","Butchering Axe","Topór Rzeźnicki"
"PF2E.Weapon.Base.butterfly-sword","Butterfly Sword","Miecz Motylkowy"
"PF2E.Weapon.Base.buugeng","Buugeng","Buugeng"
"PF2E.Weapon.Base.cane-pistol","Cane Pistol","Lasko-pistolet"
"PF2E.Weapon.Base.chain-sword","Chain Sword","Miecz Łańcuchowy"
"PF2E.Weapon.Base.chakram","Chakram","Czakram"
"PF2E.Weapon.Base.chakri","Chakri","Czakri"
"PF2E.Weapon.Base.clan-dagger","Clan Dagger","Sztylet Klanowy"
"PF2E.Weapon.Base.clan-pistol","Clan Pistol","Pistolet Klanowy"
"PF2E.Weapon.Base.claw","Claw","Pazury"
"PF2E.Weapon.Base.claw-blade","Claw Blade","Szponiaste Ostrza"
"PF2E.Weapon.Base.club","Club","Maczuga"
"PF2E.Weapon.Base.coat-pistol","Coat Pistol","Pistolet Kieszonkowy"
"PF2E.Weapon.Base.combat-grapnel","Combat Grapnel","Kotwiczka Bojowa"
"PF2E.Weapon.Base.combat-lure","Combat Lure","Bojowy Wabik"
"PF2E.Weapon.Base.composite-longbow","Composite Longbow","Długi Łuk Kompozytowy"
"PF2E.Weapon.Base.composite-shortbow","Composite Shortbow","Krótki Łuk Kompozytowy"
"PF2E.Weapon.Base.corset-knife","Corset Knife","Nóż Gorsetowy"
"PF2E.Weapon.Base.crescent-cross","Crescent Cross","Kusza Półksiężycowa"
"PF2E.Weapon.Base.crossbow","Crossbow","Kusza"
"PF2E.Weapon.Base.dagger","Dagger","Sztylet"
"PF2E.Weapon.Base.dagger-pistol","Dagger Pistol","Sztyleto-pistolet"
"PF2E.Weapon.Base.daikyu","Daikyu","Daikyu"
"PF2E.Weapon.Base.dancers-spear","Dancer's Spear","Włócznia Tancerza"
"PF2E.Weapon.Base.dandpatta","Dandpatta","Dandpatta"
"PF2E.Weapon.Base.dart","Dart","Rzutka"
"PF2E.Weapon.Base.dogslicer","Dogslicer","Psosiekacz"
"PF2E.Weapon.Base.donchak","Donchak","Donchak"
"PF2E.Weapon.Base.double-barreled-musket","Double-Barreled Musket","Muszkiet Dwulufowy"
"PF2E.Weapon.Base.double-barreled-pistol","Double-Barreled Pistol","Pistolet Dwulufowy"
"PF2E.Weapon.Base.dragon-mouth-pistol","Dragon Mouth Pistol","Pistolet Smoczoszczkęki"
"PF2E.Weapon.Base.dueling-pistol","Dueling Pistol","Pistolet Pojedynkowy"
"PF2E.Weapon.Base.dueling-spear","Dueling Spear","Włócznia Pojedynkowa"
"PF2E.Weapon.Base.dwarven-dorn-dergar","Dwarven Dorn-Dergar","Krasnoludzki Dorn-Dergar"
"PF2E.Weapon.Base.dwarven-scattergun","Dwarven Scattergun","Krasnoludzka Dubeltówka"
"PF2E.Weapon.Base.dwarven-war-axe","Dwarven War Axe","Krasnoludzki Topór Wojenny"
"PF2E.Weapon.Base.earthbreaker","Earthbreaker","Ziemiołamacz"
"PF2E.Weapon.Base.elven-branched-spear","Elven Branched Spear","Elfia Rozgałęziona Włócznia"
"PF2E.Weapon.Base.elven-curve-blade","Elven Curve Blade","Elfi Zakrzywiony Miecz"
"PF2E.Weapon.Base.explosive-dogslicer","Explosive Dogslicer","Wybuchowy Psosiekacz"
"PF2E.Weapon.Base.exquisite-sword-cane","Exquisite Sword Cane","Wyśmienita Mieczo-laska"
"PF2E.Weapon.Base.exquisite-sword-cane-sheath","Exquisite Sword Cane Sheath","Wyśmienita Pochwa na Mieczo-laskę"
"PF2E.Weapon.Base.falcata","Falcata","Falcata"
"PF2E.Weapon.Base.falchion","Falchion","Falchion"
"PF2E.Weapon.Base.fangwire","Fangwire","Niciokieł"
"PF2E.Weapon.Base.fauchard","Fauchard","Fauchard"
"PF2E.Weapon.Base.feng-huo-lun","Feng Huo Lun","Feng Huo Lun"
"PF2E.Weapon.Base.fighting-fan","Fighting Fan","Wachlarz Bojowy"
"PF2E.Weapon.Base.fighting-stick","Fighting Stick","Kijek Bojowy"
"PF2E.Weapon.Base.filchers-fork","Filcher's Fork","Widelczyk Włamywacza"
"PF2E.Weapon.Base.fire-lance","Fire Lance","Lanca ognista"
"PF2E.Weapon.Base.fire-poi","Fire Poi","Ogniste Poi"
"PF2E.Weapon.Base.fist","Fist","Pięść"
"PF2E.Weapon.Base.flail","Flail","Kiścień"
"PF2E.Weapon.Base.flingflenser","Flingflenser","Miotozdzier"
"PF2E.Weapon.Base.flintlock-musket","Flintlock Musket","Muszkiet Skałkowy"
"PF2E.Weapon.Base.flintlock-pistol","Flintlock Pistol","Pistolet Skałkowy"
"PF2E.Weapon.Base.flying-talon","Flying Talon","Latający Pazur"
"PF2E.Weapon.Base.flyssa","Flyssa","Flissa"
"PF2E.Weapon.Base.forked-bipod","Forked Bipod","Rozwidlony Dwójnóg"
"PF2E.Weapon.Base.frying-pan","Frying Pan","Patelnia"
"PF2E.Weapon.Base.gada","Gada","Gada"
"PF2E.Weapon.Base.gaff","Gaff","Gaff"
"PF2E.Weapon.Base.gakgung","Gakgung","Gakgung"
"PF2E.Weapon.Base.gauntlet","Gauntlet","Karwasz"
"PF2E.Weapon.Base.gauntlet-bow","Gauntlet Bow","Karwaszo-kusza"
"PF2E.Weapon.Base.gill-hook","Gill Hook","Skrzelo-hak"
"PF2E.Weapon.Base.glaive","Glaive","Glewia"
"PF2E.Weapon.Base.gnome-amalgam-musket","Gnome Amalgam Musket","Gnomi Amalgamuszkiet"
"PF2E.Weapon.Base.gnome-flickmace","Gnome Flickmace","Gnomia Strzelczuga"
"PF2E.Weapon.Base.gnome-hooked-hammer","Gnome Hooked Hammer","Gnomi Młoto-hak"
"PF2E.Weapon.Base.greataxe","Greataxe","Wielki Topór"
"PF2E.Weapon.Base.greatclub","Greatclub","Wielka Maczuga"
"PF2E.Weapon.Base.greatpick","Greatpick","Wielki Nadziak"
"PF2E.Weapon.Base.greatsword","Greatsword","Miecz Wielki"
"PF2E.Weapon.Base.griffon-cane","Griffon Cane","Gryfia Laska"
"PF2E.Weapon.Base.guisarme","Guisarme","Gizarma"
"PF2E.Weapon.Base.gun-sword","Gun Sword","Mieczo-pistolet"
"PF2E.Weapon.Base.halberd","Halberd","Halabarda"
"PF2E.Weapon.Base.halfling-sling-staff","Halfling Sling Staff","Niziołcza Proca Drzewcowa"
"PF2E.Weapon.Base.hammer-gun","Hammer Gun","Młoto-pistolet"
"PF2E.Weapon.Base.hand-adze","Hand Adze","Ciesak Ręczny"
"PF2E.Weapon.Base.hand-cannon","Hand Cannon","Działo Ręczne"
"PF2E.Weapon.Base.hand-crossbow","Hand Crossbow","Kusza Ręczna"
"PF2E.Weapon.Base.harmona-gun","Harmona Gun","Postolet Harmony"
"PF2E.Weapon.Base.harpoon","Harpoon","Harpun"
"PF2E.Weapon.Base.hatchet","Hatchet","Toporek"
"PF2E.Weapon.Base.heavy-crossbow","Heavy Crossbow","Ciężka Kusza"
"PF2E.Weapon.Base.hongali-hornbow","Hongali Hornbow","Hongalijski Łuk Rogowy"
"PF2E.Weapon.Base.hook-sword","Hook Sword","Hako-miecz"
"PF2E.Weapon.Base.horsechopper","Horsechopper","Koniorąb"
"PF2E.Weapon.Base.injection-spear","Injection Spear","Włócznia Wstrzykowa"
"PF2E.Weapon.Base.javelin","Javelin","Oszczep"
"PF2E.Weapon.Base.jaws","Jaws","Szczęki"
"PF2E.Weapon.Base.jezail","Jezail","Dżezail"
"PF2E.Weapon.Base.jiu-huan-dao","Jiu Huan Dao","Jiu Huan Dao"
"PF2E.Weapon.Base.juggling-club","Juggling Club","Kij Żąglerski"
"PF2E.Weapon.Base.kalis","Kalis","Kalis"
"PF2E.Weapon.Base.kama","Kama","Kama"
"PF2E.Weapon.Base.karambit","Karambit","Karambit"
"PF2E.Weapon.Base.katana","Katana","Katana"
"PF2E.Weapon.Base.katar","Katar","Katar"
"PF2E.Weapon.Base.khakkhara","Khakkhara","Khakkhara"
"PF2E.Weapon.Base.khopesh","Khopesh","Chepesz"
"PF2E.Weapon.Base.knuckle-duster","Knuckle Duster","Kastet"
"PF2E.Weapon.Base.kris","Kris","Kris"
"PF2E.Weapon.Base.kukri","Kukri","Kukri"
"PF2E.Weapon.Base.kusarigama","Kusarigama","Kusarigama"
"PF2E.Weapon.Base.lance","Lance","Lanca"
"PF2E.Weapon.Base.lancer","Lancer","Lancerz"
"PF2E.Weapon.Base.leiomano","Leiomano","Leiomano"
"PF2E.Weapon.Base.light-hammer","Light Hammer","Lekki Młot"
"PF2E.Weapon.Base.light-mace","Light Mace","Lekka Buława"
"PF2E.Weapon.Base.light-pick","Light Pick","Lekki Nadziak"
"PF2E.Weapon.Base.lion-scythe","Lion Scythe","Lwia Kosa"
"PF2E.Weapon.Base.long-air-repeater","Long Air Repeater","Długa Wiatrówka"
"PF2E.Weapon.Base.long-hammer","Long Hammer","Długi Młot"
"PF2E.Weapon.Base.longbow","Longbow","Długi Łuk"
"PF2E.Weapon.Base.longspear","Longspear","Pika"
"PF2E.Weapon.Base.longsword","Longsword","Miecz Długi"
"PF2E.Weapon.Base.mace","Mace","Buława"
"PF2E.Weapon.Base.mace-multipistol","Mace Multipistol","Buława Wielolufowa"
"PF2E.Weapon.Base.machete","Machete","Maczeta"
"PF2E.Weapon.Base.main-gauche","Main-Gauche","Lewak"
"PF2E.Weapon.Base.mambele","Mambele","Mambele"
"PF2E.Weapon.Base.maul","Maul","Młot"
"PF2E.Weapon.Base.meteor-hammer","Meteor Hammer","Młot Meteorowy"
"PF2E.Weapon.Base.mikazuki","Mikazuki","Mikazuki"
"PF2E.Weapon.Base.mithral-tree","Mithral Tree","Drzewo Mithralowe"
"PF2E.Weapon.Base.monkeys-fist","Monkey's Fist","Małpia Pięść"
"PF2E.Weapon.Base.morningstar","Morningstar","Morgensztern"
"PF2E.Weapon.Base.naginata","Naginata","Naginata"
"PF2E.Weapon.Base.nightstick","Nightstick","Nocny Stróż"
"PF2E.Weapon.Base.nine-ring-sword","Nine-Ring Sword","Jiu Huan Dao"
"PF2E.Weapon.Base.nodachi","Nodachi","Nodachi"
"PF2E.Weapon.Base.nunchaku","Nunchaku","Nunczako"
"PF2E.Weapon.Base.ogre-hook","Ogre Hook","Ogrowy Hak"
"PF2E.Weapon.Base.orc-knuckle-dagger","Orc Knuckle Dagger","Orkowy Sztyletokastet"
"PF2E.Weapon.Base.orc-necksplitter","Orc Necksplitter","Orkowy Karkozrywacz"
"PF2E.Weapon.Base.panabas","Panabas","Panabas"
"PF2E.Weapon.Base.pepperbox","Pepperbox","Pieprzniczka"
"PF2E.Weapon.Base.phalanx-piercer","Phalanx Piercer","Przebijacz Falangi"
"PF2E.Weapon.Base.pick","Pick","Nadziak"
"PF2E.Weapon.Base.piercing-wind","Piercing Wind","Przeszywający Wiatr"
"PF2E.Weapon.Base.piranha-kiss","Piranha Kiss","Pocałunek Piranii"
"PF2E.Weapon.Base.poi","Poi","Poi"
"PF2E.Weapon.Base.polytool","Polytool","Wielonarzędzie"
"PF2E.Weapon.Base.probing-cane","Probing Cane","Biała Laska"
"PF2E.Weapon.Base.ranseur","Ranseur","Runka"
"PF2E.Weapon.Base.rapier","Rapier","Rapier"
"PF2E.Weapon.Base.rapier-pistol","Rapier Pistol","Rapiero-pistolet"
"PF2E.Weapon.Base.reinforced-wheels","Reinforced Wheels","Wzmocnione Koła"
"PF2E.Weapon.Base.repeating-crossbow","Repeating Crossbow","Kusza Samopowtarzalna"
"PF2E.Weapon.Base.repeating-hand-crossbow","Repeating Hand Crossbow","Ręczna Kusza Samopowtarzalna"
"PF2E.Weapon.Base.repeating-heavy-crossbow","Repeating Heavy Crossbow","Ciężka Kusza Samopowtarzalna"
"PF2E.Weapon.Base.rhoka-sword","Rhoka Sword","Miecz Rhoka"
"PF2E.Weapon.Base.rope-dart","Rope Dart","Rzutka Linowa"
"PF2E.Weapon.Base.rotary-bow","Rotary Bow","Kusza Obrotowa"
"PF2E.Weapon.Base.rungu","Rungu","Rungu"
"PF2E.Weapon.Base.sai","Sai","Sai"
"PF2E.Weapon.Base.sansetsukon","Sansetsukon","Sansetsukon"
"PF2E.Weapon.Base.sap","Sap","Pałka"
"PF2E.Weapon.Base.sawtooth-saber","Sawtooth Saber","Szabla Piłozębna"
"PF2E.Weapon.Base.scimitar","Scimitar","Sejmitar"
"PF2E.Weapon.Base.scizore","Scizore","Scizore"
"PF2E.Weapon.Base.scorpion-whip","Scorpion Whip","Skorpioni Bicz"
"PF2E.Weapon.Base.scourge","Scourge","Kańczug"
"PF2E.Weapon.Base.scythe","Scythe","Kosa"
"PF2E.Weapon.Base.shauth-lash","Shauth Lash","Bat Shauth"
"PF2E.Weapon.Base.shears","Shears","Nożyce"
"PF2E.Weapon.Base.shield-bash","Shield Bash","Grzmotnięcie Tarczą"
"PF2E.Weapon.Base.shield-boss","Shield Boss","Umbo do Tarczy"
"PF2E.Weapon.Base.shield-bow","Shield Bow","Tarczo-łuk"
"PF2E.Weapon.Base.shield-pistol","Shield Pistol","Pistolet na Tarczę"
"PF2E.Weapon.Base.shield-spikes","Shield Spikes","Kolce na Tarczę"
"PF2E.Weapon.Base.shobhad-longrifle","Shobhad Longrifle","Shobhadzki Długostrzał"
"PF2E.Weapon.Base.shortbow","Shortbow","Krótki Łuk"
"PF2E.Weapon.Base.shortsword","Shortsword","Miecz Krótki"
"PF2E.Weapon.Base.shuriken","Shuriken","Shuriken"
"PF2E.Weapon.Base.sickle","Sickle","Sierp"
"PF2E.Weapon.Base.sickle-saber","Sickle-saber","Sierpo-szabla"
"PF2E.Weapon.Base.slide-pistol","Slide Pistol","Pistolet Przesuwowy"
"PF2E.Weapon.Base.sling","Sling","Proca"
"PF2E.Weapon.Base.sling-bullets","Sling Bullets","Pociski do Procy"
"PF2E.Weapon.Base.spear","Spear","Włócznia"
"PF2E.Weapon.Base.spiked-chain","Spiked Chain","Kolczasty Łańcuch"
"PF2E.Weapon.Base.spiked-gauntlet","Spiked Gauntlet","Kolczasty Karwasz"
"PF2E.Weapon.Base.spiral-rapier","Spiral Rapier","Spiralny Rapier"
"PF2E.Weapon.Base.spoon-gun","Spoon Gun","Strzelaba na Sztućce"
"PF2E.Weapon.Base.spraysling","Spraysling","Proca Rozpryskowa"
"PF2E.Weapon.Base.staff","Staff","Kostur"
"PF2E.Weapon.Base.starknife","Starknife","Gwieździsty Nóż"
"PF2E.Weapon.Base.stiletto-pen","Stiletto Pen","Pióro-sztylet"
"PF2E.Weapon.Base.sukgung","Sukgung","Sukgung"
"PF2E.Weapon.Base.sun-sling","Sun Sling","Słoneczna Proca"
"PF2E.Weapon.Base.switchscythe","Switchscythe","Kombokosa"
"PF2E.Weapon.Base.sword-cane","Sword Cane","Mieczo-laska"
"PF2E.Weapon.Base.talwar","Talwar","Talwar"
"PF2E.Weapon.Base.tamchal-chakram","Tamchal Chakram","Czakram Tamchal"
"PF2E.Weapon.Base.taw-launcher","Taw Launcher","Wytrzutnia Tau"
"PF2E.Weapon.Base.tekko-kagi","Tekko-kagi","Tekko-Kagi"
"PF2E.Weapon.Base.temple-sword","Temple Sword","Miecz Świątynny"
"PF2E.Weapon.Base.tengu-gale-blade","Tengu Gale Blade","Ostrze Wichrów Tengu"
"PF2E.Weapon.Base.thorn-whip","Thorn whip","Ciernisty bicz"
"PF2E.Weapon.Base.three-peaked-tree","Three Peaked Tree","Drzewo o Trzech Koronach"
"PF2E.Weapon.Base.three-section-naginata","Three-Section Naginata","Trójsegmentowa Naginata"
"PF2E.Weapon.Base.throwing-knife","Throwing Knife","Nóż do rzucania"
"PF2E.Weapon.Base.thunder-sling","Thunder Sling","Grzmotoproca"
"PF2E.Weapon.Base.thundermace","Thundermace","Grzmotczuga"
"PF2E.Weapon.Base.tonfa","Tonfa","Tonfa"
"PF2E.Weapon.Base.tri-bladed-katar","Tri-bladed Katar","Trójostrzowy Katar"
"PF2E.Weapon.Base.tricky-pick","Tricky Pick","Nadziak Spryciak"
"PF2E.Weapon.Base.trident","Trident","Trójząb"
"PF2E.Weapon.Base.triggerbrand","Triggerbrand","Spustostrze"
"PF2E.Weapon.Base.urumi","Urumi","Urumi"
"PF2E.Weapon.Base.visap","Visap","Visap"
"PF2E.Weapon.Base.wakizashi","Wakizashi","Wakizashi"
"PF2E.Weapon.Base.war-flail","War Flail","Cep Wojenny"
"PF2E.Weapon.Base.war-lance","War Lance","Lanca Wojenna"
"PF2E.Weapon.Base.war-razor","War Razor","Brzytwa Wojenna"
"PF2E.Weapon.Base.warhammer","Warhammer","Młot Wojenny"
"PF2E.Weapon.Base.wheel-blades","Wheel Blades","Ostrza na Koła"
"PF2E.Weapon.Base.wheel-spikes","Wheel Spikes","Kolce na Koła"
"PF2E.Weapon.Base.whip","Whip","Bicz"
"PF2E.Weapon.Base.whip-claw","Whip Claw","Biczoszpon"
"PF2E.Weapon.Base.whip-staff","Whip Staff","Biczostur"
"PF2E.Weapon.Base.wish-blade","Wish Blade","Ostrze Życzeń"
"PF2E.Weapon.Base.wish-knife","Wish Knife","Nóż Życzeń"
"PF2E.Weapon.Base.wooden-taws","Wooden Taws","Drewniane Tau"
"PF2E.Weapon.Base.wrecker","Wrecker","Wyburzyciel"
"PF2E.Weapon.Base.wrist-launcher","Wrist Launcher","Wyrzutnia na nadgarstek"
"PF2E.Weapon.Base.zulfikar","Zulfikar","Zulfikar"
"PF2E.WeaponAbilityLabel","Weapon Ability","Zdolności Broni"
"PF2E.WeaponBaseDamageTitle","This section configures the base damage for the weapon. Additional die from Striking runes should not be added here and instead configured in the Weapon Runes section above.","Ta sekcja pozwala na skonfigurowanie podstawowych obrażeń broni. Dodatkowe obrażenia wynikające z run Ciosu powinny zostać skonfigurowane poniżej, w sekcji Runy Broni."
"PF2E.WeaponBaseLabel","Base","Baza"
"PF2E.WeaponBonusAttackLabel","Bonus Attack","Dodatkowy Atak"
"PF2E.WeaponBonusDamageLabel","Bonus Damage","Dodatkowe Obrażenia"
"PF2E.WeaponCustomDamageLabel","Additional Custom Damage","Dodatkowe Niestandardowe Obrażenia"
